   k      z      dz     pres   presi   Tabs     tp     tpl      qt      Qc     Qi    REL
 349  2147.50    5.00  797.36  797.60  283.05  301.98  301.98  5.0519  0.0000  0.0000   52.31
 348  2142.50    5.00  797.84  798.08  283.08  301.96  301.96  5.0659  0.0000  0.0000   52.38
 347  2137.50    5.00  798.32  798.56  283.11  301.94  301.94  5.0799  0.0000  0.0000   52.45
 346  2132.50    5.00  798.80  799.04  283.14  301.92  301.92  5.0939  0.0000  0.0000   52.53
 345  2127.50    5.00  799.28  799.52  283.17  301.90  301.90  5.1079  0.0000  0.0000   52.60
 344  2122.50    5.00  799.77  800.01  283.20  301.88  301.88  5.1219  0.0000  0.0000   52.67
 343  2117.50    5.00  800.25  800.49  283.23  301.85  301.85  5.1359  0.0000  0.0000   52.75
 342  2112.50    5.00  800.73  800.97  283.26  301.83  301.83  5.1500  0.0000  0.0000   52.82
 341  2107.50    5.00  801.21  801.45  283.28  301.81  301.81  5.1640  0.0000  0.0000   52.90
 340  2102.50    5.00  801.69  801.93  283.30  301.78  301.78  5.1781  0.0000  0.0000   53.00
 339  2097.50    5.00  802.17  802.42  283.32  301.75  301.75  5.1921  0.0000  0.0000   53.10
 338  2092.50    5.00  802.66  802.90  283.35  301.72  301.72  5.2062  0.0000  0.0000   53.20
 337  2087.50    5.00  803.14  803.38  283.37  301.69  301.69  5.2203  0.0000  0.0000   53.30
 336  2082.50    5.00  803.62  803.86  283.39  301.66  301.66  5.2343  0.0000  0.0000   53.40
 335  2077.50    5.00  804.11  804.35  283.41  301.64  301.64  5.2484  0.0000  0.0000   53.49
 334  2072.50    5.00  804.59  804.83  283.43  301.61  301.61  5.2625  0.0000  0.0000   53.59
 333  2067.50    5.00  805.07  805.31  283.45  301.58  301.58  5.2766  0.0000  0.0000   53.69
 332  2062.50    5.00  805.56  805.80  283.47  301.55  301.55  5.2906  0.0000  0.0000   53.79
 331  2057.50    5.00  806.04  806.28  283.50  301.52  301.52  5.3047  0.0000  0.0000   53.88
 330  2052.50    5.00  806.53  806.77  283.52  301.49  301.49  5.3188  0.0000  0.0000   53.98
 329  2047.50    5.00  807.01  807.25  283.54  301.46  301.46  5.3328  0.0000  0.0000   54.08
 328  2042.50    5.00  807.50  807.74  283.56  301.43  301.43  5.3469  0.0000  0.0000   54.18
 327  2037.50    5.00  807.98  808.22  283.58  301.40  301.40  5.3610  0.0000  0.0000   54.27
 326  2032.50    5.00  808.47  808.71  283.60  301.37  301.37  5.3750  0.0000  0.0000   54.37
 325  2027.50    5.00  808.95  809.19  283.62  301.35  301.35  5.3891  0.0000  0.0000   54.47
 324  2022.50    5.00  809.44  809.68  283.65  301.32  301.32  5.4032  0.0000  0.0000   54.56
 323  2017.50    5.00  809.92  810.17  283.67  301.29  301.29  5.4173  0.0000  0.0000   54.66
 322  2012.50    5.00  810.41  810.65  283.69  301.26  301.26  5.4313  0.0000  0.0000   54.75
 321  2007.50    5.00  810.90  811.14  283.71  301.23  301.23  5.4454  0.0000  0.0000   54.85
 320  2002.50    5.00  811.38  811.63  283.73  301.20  301.20  5.4595  0.0000  0.0000   54.94
 319  1997.50    5.00  811.87  812.12  283.75  301.17  301.17  5.4735  0.0000  0.0000   55.04
 318  1992.50    5.00  812.36  812.60  283.77  301.14  301.14  5.4876  0.0000  0.0000   55.14
 317  1987.50    5.00  812.85  813.09  283.80  301.11  301.11  5.5017  0.0000  0.0000   55.23
 316  1982.50    5.00  813.33  813.58  283.82  301.09  301.09  5.5157  0.0000  0.0000   55.33
 315  1977.50    5.00  813.82  814.07  283.84  301.06  301.06  5.5298  0.0000  0.0000   55.42
 314  1972.50    5.00  814.31  814.56  283.86  301.03  301.03  5.5439  0.0000  0.0000   55.51
 313  1967.50    5.00  814.80  815.04  283.88  301.00  301.00  5.5580  0.0000  0.0000   55.61
 312  1962.50    5.00  815.29  815.53  283.90  300.97  300.97  5.5720  0.0000  0.0000   55.70
 311  1957.50    5.00  815.78  816.02  283.92  300.94  300.94  5.5861  0.0000  0.0000   55.80
 310  1952.50    5.00  816.27  816.51  283.95  300.91  300.91  5.6002  0.0000  0.0000   55.89
 309  1947.50    5.00  816.76  817.00  283.97  300.88  300.88  5.6142  0.0000  0.0000   55.98
 308  1942.50    5.00  817.25  817.49  283.99  300.85  300.85  5.6283  0.0000  0.0000   56.08
 307  1937.50    5.00  817.74  817.98  284.01  300.82  300.82  5.6424  0.0000  0.0000   56.17
 306  1932.50    5.00  818.23  818.47  284.03  300.80  300.80  5.6565  0.0000  0.0000   56.26
 305  1927.50    5.00  818.72  818.96  284.05  300.77  300.77  5.6705  0.0000  0.0000   56.36
 304  1922.50    5.00  819.21  819.46  284.07  300.74  300.74  5.6846  0.0000  0.0000   56.45
 303  1917.50    5.00  819.70  819.95  284.10  300.71  300.71  5.6987  0.0000  0.0000   56.54
 302  1912.50    5.00  820.19  820.44  284.12  300.68  300.68  5.7127  0.0000  0.0000   56.64
 301  1907.50    5.00  820.68  820.93  284.14  300.65  300.65  5.7268  0.0000  0.0000   56.73
 300  1902.50    5.00  821.18  821.42  284.16  300.62  300.62  5.7409  0.0000  0.0000   56.82
 299  1897.50    5.00  821.67  821.92  284.18  300.59  300.59  5.7549  0.0000  0.0000   56.91
 298  1892.50    5.00  822.16  822.41  284.20  300.56  300.56  5.7690  0.0000  0.0000   57.00
 297  1887.50    5.00  822.65  822.90  284.22  300.53  300.53  5.7831  0.0000  0.0000   57.10
 296  1882.50    5.00  823.15  823.39  284.24  300.51  300.51  5.7972  0.0000  0.0000   57.19
 295  1877.50    5.00  823.64  823.89  284.27  300.48  300.48  5.8112  0.0000  0.0000   57.28
 294  1872.50    5.00  824.13  824.38  284.29  300.45  300.45  5.8253  0.0000  0.0000   57.37
 293  1867.50    5.00  824.63  824.88  284.31  300.42  300.42  5.8394  0.0000  0.0000   57.46
 292  1862.50    5.00  825.12  825.37  284.33  300.39  300.39  5.8534  0.0000  0.0000   57.55
 291  1857.50    5.00  825.62  825.86  284.35  300.36  300.36  5.8675  0.0000  0.0000   57.64
